2 1659 29
2 1660 29
2 1661 30
2 1662 31
2 1663 31
2 1664 31
2 1665 31
2 1666 30
2 1667 31
2 1668 30
2 1669 30
2 1670 29
2 1671 31
2 1672 31
2 1673 30
2 1674 31
2 1675 30
2 1676 30
2 1677 29
2 1678 29
2 1679 29
2 1680 29
2 1681 29
2 1682 29
2 1683 31
2 1684 30
2 1685 30
2 1686 31
2 1687 30
2 1688 29
2 1689 29
2 1690 29
2 1691 29
2 1692 30
2 1693 30
2 1694 31
2 1695 29
2 1696 29
2 1697 29
2 1698 29
2 1699 29
2 1700 29
2 1701 29
2 1702 29
2 1703 29
2 1704 29
2 1705 29
2 1706 29
2 1707 29
2 1708 29
2 1709 29
2 1710 29
2 1711 30
2 1712 30
2 1713 31
2 1714 31
2 1715 29
2 1716 29
2 1717 29
2 1718 29
2 1719 29
2 1720 29
2 1721 29
2 1722 29
2 1723 31
2 1724 31
2 1725 31
2 1726 30
2 1727 30
2 1728 30
2 1729 29
2 1730 29
2 1731 31
2 1732 31
2 1733 31
2 1734 30
2 1735 30
2 1736 30
2 1737 30
2 1738 29
2 1739 29
2 1740 29
2 1741 30
2 1742 31
2 1743 31
2 1744 31
2 1745 31
2 1746 31
2 1747 31
2 1748 30
2 1749 30
2 1750 29
2 1751 31
2 1752 31
2 1753 30
2 1754 30
2 1755 30
2 1756 30
2 1757 29
2 1758 29
2 1759 29
2 1760 29
2 1761 30
2 1762 31
2 1763 31
2 1764 30
2 1765 31
2 1766 30
2 1767 30
2 1768 30
2 1769 29
2 1770 29
2 1771 31
2 1772 31
2 1773 30
2 1774 31
2 1775 30
2 1776 30
2 1777 29
2 1778 29
2 1779 29
2 1780 29
2 1781 29
2 1782 29
2 1783 30
2 1784 30
2 1785 30
2 1786 30
2 1787 30
2 1788 29
2 1789 29
2 1790 29
2 1791 29
2 1792 30
2 1793 31
2 1794 30
2 1795 30
2 1796 30
2 1797 29
2 1798 29
2 1799 29
2 1800 29
2 1801 29
2 1802 29
2 1803 29
2 1804 30
2 1805 30
2 1806 30
2 1807 29
2 1808 29
2 1809 29
2 1810 29
2 1811 31
2 1812 29
2 1813 31
2 1814 31
2 1815 29
2 1816 30
2 1817 29
2 1818 29
2 1819 29
2 1820 29
2 1821 29
2 1822 30
2 1823 31
2 1824 30
2 1825 31
2 1826 31
2 1827 31
2 1828 30
2 1829 30
2 1830 29
2 1831 31
2 1832 31
2 1833 30
2 1834 30
2 1835 30
2 1836 30
2 1837 30
2 1838 29
2 1839 29
2 1840 29
2 1841 29
2 1842 31
2 1843 31
2 1844 31
2 1845 31
2 1846 31
2 1847 30
2 1848 30
2 1849 30
2 1850 29
2 1851 31
2 1852 31
2 1853 30
2 1854 31
2 1855 30
2 1856 30
2 1857 29
2 1858 29
2 1859 29
2 1860 29
2 1861 30
2 1862 31
2 1863 31
2 1864 31
2 1865 30
2 1866 31
2 1867 30
2 1868 30
2 1869 30
2 1870 29
2 1871 30
2 1872 31
2 1873 31
2 1874 30
2 1875 30
2 1876 30
2 1877 29
2 1878 29
2 1879 29
2 1880 29
2 1881 29
2 1882 29
2 1883 29
2 1884 30
2 1885 30
2 1886 29
2 1887 29
2 1888 29
2 1889 29
2 1890 29
2 1891 31
2 1892 29
2 1893 30
2 1894 31
2 1895 29
2 1896 29
2 1897 29
2 1898 29
2 1899 29
2 1900 29
2 1901 29
2 1902 29
2 1903 29
2 1904 29
2 1905 29
2 1906 29
2 1907 29
2 1908 29
2 1909 29
2 1910 29
2 1911 29
2 1912 30
2 1913 30
2 1914 31
2 1915 30
2 1916 29
2 1917 29
2 1918 29
2 1919 29
2 1920 29
2 1921 29
2 1922 30
2 1923 31
2 1924 31
2 1925 31
2 1926 31
2 1927 30
2 1928 30
2 1929 30
2 1930 29
2 1931 31
2 1932 31
2 1933 30
2 1934 30
2 1935 30
2 1936 30
2 1937 29
2 1938 29
2 1939 29
2 1940 29
2 1941 30
2 1942 31
2 1943 31
2 1944 31
2 1945 31
2 1946 31
2 1947 31
2 1948 30
2 1949 30
2 1950 29
2 1951 31
2 1952 31
2 1953 30
2 1954 30
2 1955 30
2 1956 30
2 1957 29
2 1958 29
2 1959 29
2 1960 29
2 1961 29
2 1962 30
2 1963 31
2 1964 31
2 1965 31
2 1966 30
2 1967 30
2 1968 30
2 1969 29
2 1970 29
2 1971 31
2 1972 30
2 1973 31
2 1974 31
2 1975 29
2 1976 30
2 1977 29
2 1978 29
2 1979 29
2 1980 29
2 1981 29
2 1982 29
2 1983 29
2 1984 29
2 1985 29
2 1986 30
2 1987 29
2 1988 29
2 1989 29
2 1990 29
2 1991 29
2 1992 29
2 1993 30
2 1994 31
2 1995 29
2 1996 29
2 1997 29
2 1998 29
2 1999 29
2 2000 29
2 2001 29
2 2002 29
2 2003 29
2 2004 29
2 2005 29
2 2006 29
2 2007 29
2 2008 29
2 2009 29
2 2010 29
2 2011 30
2 2012 29
2 2013 30
2 2014 31
2 2015 29
2 2016 29
2 2017 29
2 2018 29
2 2019 29
2 2020 29
2 2021 29
2 2022 29
2 2023 29
2 2024 30
2 2025 30
2 2026 31
2 2027 30
2 2028 30
2 2029 30
2 2030 29
2 2031 31
2 2032 31
2 2033 30
2 2034 31
2 2035 30
2 2036 30
2 2037 29
2 2038 29
2 2039 29
2 2040 29
2 2041 29
2 2042 30
2 2043 31
2 2044 31
2 2045 31
2 2046 31
2 2047 30
2 2048 30
2 2049 30
2 2050 30
2 2051 31
2 2052 31
2 2053 30
2 2054 30
2 2055 30
2 2056 30
2 2057 29
2 2058 29
2 2059 29
2 2060 29
2 2061 29
2 2062 31
2 2063 30
2 2064 31
2 2065 31
2 2066 31
2 2067 30
2 2068 30
2 2069 29
2 2070 29
2 2071 31
2 2072 31
2 2073 31
2 2074 31
2 2075 29
2 2076 29
2 2077 29
2 2078 29
2 2079 29
2 2080 29
2 2081 29
2 2082 29
2 2083 29
2 2084 29
2 2085 30
2 2086 29
2 2087 29
2 2088 29
2 2089 29
2 2090 29
2 2091 29
2 2092 29
2 2093 29
2 2094 30
2 2095 29
2 2096 29
2 2097 29
2 2098 29
2 2099 29
2 2100 29
2 2101 29
2 2102 29
2 2103 29
2 2104 29
2 2105 29
2 2106 29
2 2107 29
2 2108 29
2 2109 29
2 2110 29
2 2111 29
2 2112 30
2 2113 30
2 2114 31
2 2115 30
2 2116 30
2 2117 29
2 2118 29
2 2119 29
2 2120 29
2 2121 29
2 2122 29
2 2123 30
2 2124 31
2 2125 31
2 2126 31
2 2127 30
2 2128 30
2 2129 29
